Subgraph,5 highest absolute error,0.01 result,0.001 result,4dp result,First 5 CPU Tensors,First 5 NPU Tensors
/model/layers.31/input_layernorm/output_3,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0895,0.0787,0.8183,0.3848,0.2479","0.0895,0.0787,0.8183,0.3848,0.2479"
ConvertLike_8441,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"9.0000,0.0000,11.0000,7.0000,12.0000","9.0000,0.0000,11.0000,7.0000,12.0000"
Transpose_8443,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"9.0000,6.0000,8.0000,6.0000,9.0000","9.0000,6.0000,8.0000,6.0000,9.0000"
Subtract_8444,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"1.0000,-2.0000,0.0000,-2.0000,1.0000","1.0000,-2.0000,0.0000,-2.0000,1.0000"
Multiply_8445,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0170,0.0403,-0.0000,0.0210,0.0069","0.0170,0.0403,-0.0000,0.0210,0.0069"
Transpose_8446,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0170,-0.1357,0.0509,-0.0170,0.0679","0.0170,-0.1357,0.0509,-0.0170,0.0679"
Reshape_8448,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0170,-0.1357,0.0509,-0.0170,0.0679","0.0170,-0.1357,0.0509,-0.0170,0.0679"
Slice_8453,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0170,-0.1357,0.0509,-0.0170,0.0679","0.0170,-0.1357,0.0509,-0.0170,0.0679"
/model/layers.31/attn/o_proj/MatMul_Q4,"0.0026,0.0025,0.0019,0.0018,0.0016",passed 100,failed 97,failed 10,"-0.2118,-1.9505,-0.5289,-1.8733,2.1218","-0.2118,-1.9502,-0.5293,-1.8730,2.1211"
/model/layers.31/post_attention_layernorm/SkipLayerNorm_/model/layers.31/post_attention_layernorm/output_3,"0.0033,0.0033,0.0028,0.0028,0.0027",passed 100,failed 92,failed 8,"0.0593,-1.9162,0.1130,-0.9694,2.6888","0.0592,-1.9160,0.1128,-0.9692,2.6875"
Multiply_8456,"0.0407,0.0333,0.0328,0.0290,0.0279",failed 98,failed 65,failed 11,"0.0035,3.6718,0.0128,0.9398,7.2297","0.0035,3.6719,0.0127,0.9395,7.2227"
/model/layers.31/post_attention_layernorm/SkipLayerNorm_,0.0002,passed 100,passed 100,failed 0,2.5432,2.5430
Add_8460,0.0002,passed 100,passed 100,failed 0,2.5432,2.5430
Sqrt_8461,0.0000,passed 100,passed 100,passed 100,1.5947,1.5947
/model/layers.31/post_attention_layernorm/SkipLayerNorm__1,0.0001,passed 100,passed 100,failed 0,0.6271,0.6270
Multiply_8464,"0.0033,0.0029,0.0025,0.0025,0.0025",passed 100,failed 95,failed 11,"0.0372,-1.2016,0.0708,-0.6079,1.6861","0.0371,-1.2012,0.0707,-0.6079,1.6846"
/model/layers.31/post_attention_layernorm/SkipLayerNorm_/model/layers.31/post_attention_layernorm/output_0,"0.0019,0.0018,0.0016,0.0015,0.0015",passed 100,failed 99,failed 19,"0.0218,-0.7087,0.0410,-0.3514,1.0077","0.0217,-0.7085,0.0409,-0.3516,1.0068"
ConvertLike_8468,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"6.0000,5.0000,4.0000,3.0000,15.0000","6.0000,5.0000,4.0000,3.0000,15.0000"
Transpose_8470,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"6.0000,10.0000,15.0000,3.0000,1.0000","6.0000,10.0000,15.0000,3.0000,1.0000"
Subtract_8471,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-2.0000,2.0000,7.0000,-5.0000,-7.0000","-2.0000,2.0000,7.0000,-5.0000,-7.0000"
Multiply_8472,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0215,0.0149,0.0607,0.0641,0.0790","0.0215,0.0149,0.0607,0.0641,0.0790"
Transpose_8473,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0215,0.0322,0.0430,0.0537,-0.0752","0.0215,0.0322,0.0430,0.0537,-0.0752"
Reshape_8475,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0215,0.0322,0.0430,0.0537,-0.0752","0.0215,0.0322,0.0430,0.0537,-0.0752"
Slice_8480,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0215,0.0322,0.0430,0.0537,-0.0752","0.0215,0.0322,0.0430,0.0537,-0.0752"
/model/layers.31/mlp/gate_proj/MatMul_Q4,"0.0038,0.0035,0.0034,0.0031,0.0031",passed 100,failed 86,failed 6,"-0.5157,1.9562,1.0094,0.6560,-0.5802","-0.5156,1.9561,1.0098,0.6558,-0.5791"
