Subgraph,5 highest absolute error,0.01 result,0.001 result,4dp result,First 5 CPU Tensors,First 5 NPU Tensors
/model/layers.7/input_layernorm/output_3,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0895,0.0787,0.8183,0.3848,0.2479","0.0895,0.0787,0.8183,0.3848,0.2479"
ConvertLike_5249,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"10.0000,5.0000,0.0000,9.0000,7.0000","10.0000,5.0000,0.0000,9.0000,7.0000"
Transpose_5251,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"10.0000,0.0000,5.0000,11.0000,11.0000","10.0000,0.0000,5.0000,11.0000,11.0000"
Subtract_5252,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"2.0000,-8.0000,-3.0000,3.0000,3.0000","2.0000,-8.0000,-3.0000,3.0000,3.0000"
Multiply_5253,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0147,-0.0811,-0.0251,-0.0242,0.0242","0.0147,-0.0811,-0.0251,-0.0242,0.0242"
Transpose_5254,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0147,-0.0221,-0.0588,0.0074,-0.0074","0.0147,-0.0221,-0.0588,0.0074,-0.0074"
Reshape_5256,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0147,-0.0221,-0.0588,0.0074,-0.0074","0.0147,-0.0221,-0.0588,0.0074,-0.0074"
Slice_5261,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0147,-0.0221,-0.0588,0.0074,-0.0074","0.0147,-0.0221,-0.0588,0.0074,-0.0074"
/model/layers.7/attn/o_proj/MatMul_Q4,"0.0011,0.0011,0.0011,0.0011,0.0011",passed 100,failed 99,failed 15,"0.1344,0.3499,1.0703,0.5555,0.8052","0.1342,0.3501,1.0703,0.5552,0.8052"
/model/layers.7/post_attention_layernorm/SkipLayerNorm_/model/layers.7/post_attention_layernorm/output_3,"0.0020,0.0018,0.0016,0.0016,0.0016",passed 100,failed 98,failed 11,"0.4055,0.3842,1.7121,1.4594,1.3722","0.4053,0.3843,1.7129,1.4590,1.3721"
