Subgraph,5 highest absolute error,0.01 result,0.001 result,4dp result,First 5 CPU Tensors,First 5 NPU Tensors
/model/layers.30/input_layernorm/output_3,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0895,0.0787,0.8183,0.3848,0.2479","0.0895,0.0787,0.8183,0.3848,0.2479"
ConvertLike_8308,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0000,10.0000,11.0000,3.0000,7.0000","0.0000,10.0000,11.0000,3.0000,7.0000"
Transpose_8310,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0000,1.0000,10.0000,5.0000,4.0000","0.0000,1.0000,10.0000,5.0000,4.0000"
Subtract_8311,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-8.0000,-7.0000,2.0000,-3.0000,-4.0000","-8.0000,-7.0000,2.0000,-3.0000,-4.0000"
Multiply_8312,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0708,-0.0961,-0.0292,-0.0520,-0.0554","0.0708,-0.0961,-0.0292,-0.0520,-0.0554"
Transpose_8313,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0708,-0.0177,-0.0266,0.0443,0.0089","0.0708,-0.0177,-0.0266,0.0443,0.0089"
Reshape_8315,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0708,-0.0177,-0.0266,0.0443,0.0089","0.0708,-0.0177,-0.0266,0.0443,0.0089"
Slice_8320,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0708,-0.0177,-0.0266,0.0443,0.0089","0.0708,-0.0177,-0.0266,0.0443,0.0089"
/model/layers.30/attn/o_proj/MatMul_Q4,"0.0023,0.0019,0.0018,0.0018,0.0017",passed 100,failed 97,failed 9,"-2.8668,-1.8407,-3.1455,0.6118,0.9432","-2.8672,-1.8408,-3.1445,0.6118,0.9429"
/model/layers.30/post_attention_layernorm/SkipLayerNorm_/model/layers.30/post_attention_layernorm/output_3,"0.0031,0.0028,0.0027,0.0026,0.0026",passed 100,failed 93,failed 9,"-2.5957,-1.8064,-2.5036,1.5157,1.5102","-2.5957,-1.8066,-2.5020,1.5156,1.5098"
Multiply_8323,"0.0310,0.0270,0.0254,0.0253,0.0237",failed 98,failed 65,failed 10,"6.7378,3.2630,6.2679,2.2973,2.2808","6.7383,3.2637,6.2617,2.2969,2.2793"
/model/layers.30/post_attention_layernorm/SkipLayerNorm_,0.0010,passed 100,passed 100,failed 0,2.5459,2.5469
Add_8327,0.0010,passed 100,passed 100,failed 0,2.5459,2.5469
Sqrt_8328,0.0001,passed 100,passed 100,failed 0,1.5956,1.5957
/model/layers.30/post_attention_layernorm/SkipLayerNorm__1,0.0003,passed 100,passed 100,failed 0,0.6267,0.6265
Multiply_8331,"0.0037,0.0031,0.0027,0.0027,0.0026",passed 100,failed 91,failed 9,"-1.6268,-1.1321,-1.5691,0.9499,0.9465","-1.6260,-1.1318,-1.5674,0.9497,0.9458"
/model/layers.30/post_attention_layernorm/SkipLayerNorm_/model/layers.30/post_attention_layernorm/output_0,"0.0026,0.0019,0.0019,0.0019,0.0017",passed 100,failed 97,failed 16,"-0.9850,-0.6766,-0.9562,0.5714,0.5694","-0.9844,-0.6763,-0.9551,0.5713,0.5688"
ConvertLike_8335,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"11.0000,6.0000,13.0000,4.0000,13.0000","11.0000,6.0000,13.0000,4.0000,13.0000"
Transpose_8337,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"11.0000,6.0000,8.0000,11.0000,4.0000","11.0000,6.0000,8.0000,11.0000,4.0000"
Subtract_8338,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"3.0000,-2.0000,0.0000,3.0000,-4.0000","3.0000,-2.0000,0.0000,3.0000,-4.0000"
Multiply_8339,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0319,-0.0205,-0.0000,-0.0238,0.0479","0.0319,-0.0205,-0.0000,-0.0238,0.0479"
Transpose_8340,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0319,-0.0212,0.0531,-0.0425,0.0531","0.0319,-0.0212,0.0531,-0.0425,0.0531"
Reshape_8342,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0319,-0.0212,0.0531,-0.0425,0.0531","0.0319,-0.0212,0.0531,-0.0425,0.0531"
