Subgraph,5 highest absolute error,0.01 result,0.001 result,4dp result,First 5 CPU Tensors,First 5 NPU Tensors
/model/layers.18/input_layernorm/output_3,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0895,0.0787,0.8183,0.3848,0.2479","0.0895,0.0787,0.8183,0.3848,0.2479"
ConvertLike_6712,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"6.0000,7.0000,4.0000,13.0000,0.0000","6.0000,7.0000,4.0000,13.0000,0.0000"
Transpose_6714,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"6.0000,10.0000,12.0000,7.0000,7.0000","6.0000,10.0000,12.0000,7.0000,7.0000"
Subtract_6715,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-2.0000,2.0000,4.0000,-1.0000,-1.0000","-2.0000,2.0000,4.0000,-1.0000,-1.0000"
Multiply_6716,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0175,0.0232,-0.0488,-0.0086,-0.0136","0.0175,0.0232,-0.0488,-0.0086,-0.0136"
Transpose_6717,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0175,0.0087,0.0349,-0.0436,0.0698","0.0175,0.0087,0.0349,-0.0436,0.0698"
Reshape_6719,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0175,0.0087,0.0349,-0.0436,0.0698","0.0175,0.0087,0.0349,-0.0436,0.0698"
Slice_6724,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0175,0.0087,0.0349,-0.0436,0.0698","0.0175,0.0087,0.0349,-0.0436,0.0698"
/model/layers.18/attn/o_proj/MatMul_Q4,"0.0030,0.0016,0.0015,0.0014,0.0013",passed 100,failed 99,failed 14,"-0.0352,1.1310,0.5044,2.3063,0.2427","-0.0347,1.1309,0.5044,2.3066,0.2427"
/model/layers.18/post_attention_layernorm/SkipLayerNorm_/model/layers.18/post_attention_layernorm/output_3,"0.0043,0.0031,0.0030,0.0024,0.0022",passed 100,failed 96,failed 10,"0.2359,1.1653,1.1463,3.2102,0.8097","0.2363,1.1650,1.1465,3.2109,0.8096"
Multiply_6727,"0.0360,0.0242,0.0224,0.0177,0.0158",failed 99,failed 74,failed 15,"0.0557,1.3579,1.3141,10.3052,0.6557","0.0558,1.3574,1.3145,10.3125,0.6553"
/model/layers.18/post_attention_layernorm/SkipLayerNorm_,0.0003,passed 100,passed 100,failed 0,1.7054,1.7051
Add_6731,0.0003,passed 100,passed 100,failed 0,1.7054,1.7051
Sqrt_6732,0.0002,passed 100,passed 100,failed 0,1.3059,1.3057
/model/layers.18/post_attention_layernorm/SkipLayerNorm__1,0.0004,passed 100,passed 100,failed 0,0.7658,0.7661
Multiply_6735,"0.0034,0.0034,0.0033,0.0031,0.0030",passed 100,failed 90,failed 8,"0.1807,0.8923,0.8778,2.4582,0.6201","0.1810,0.8926,0.8784,2.4590,0.6201"
/model/layers.18/post_attention_layernorm/SkipLayerNorm_/model/layers.18/post_attention_layernorm/output_0,"0.0013,0.0013,0.0010,0.0010,0.0010",passed 100,failed 99,failed 26,"0.0582,0.2771,0.2897,0.7586,0.1998","0.0583,0.2771,0.2900,0.7588,0.1998"
ConvertLike_6739,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"12.0000,12.0000,3.0000,15.0000,9.0000","12.0000,12.0000,3.0000,15.0000,9.0000"
Transpose_6741,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"12.0000,1.0000,11.0000,9.0000,8.0000","12.0000,1.0000,11.0000,9.0000,8.0000"
Subtract_6742,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"4.0000,-7.0000,3.0000,1.0000,0.0000","4.0000,-7.0000,3.0000,1.0000,0.0000"
Multiply_6743,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-0.0242,0.0607,-0.0286,-0.0109,0.0000","-0.0242,0.0607,-0.0286,-0.0109,0.0000"
Transpose_6744,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-0.0242,-0.0242,0.0302,-0.0423,-0.0060","-0.0242,-0.0242,0.0302,-0.0423,-0.0060"
Reshape_6746,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-0.0242,-0.0242,0.0302,-0.0423,-0.0060","-0.0242,-0.0242,0.0302,-0.0423,-0.0060"
Slice_6751,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-0.0242,-0.0242,0.0302,-0.0423,-0.0060","-0.0242,-0.0242,0.0302,-0.0423,-0.0060"
/model/layers.18/mlp/gate_proj/MatMul_Q4,"0.0027,0.0025,0.0023,0.0022,0.0022",passed 100,failed 96,failed 9,"-0.2991,0.6063,-0.6089,-0.3203,-0.4295","-0.2988,0.6069,-0.6084,-0.3196,-0.4297"
/model/layers.18/mlp/act_fn/Sigmoid,"0.0005,0.0005,0.0005,0.0005,0.0005",passed 100,passed 100,failed 24,"0.4258,0.6471,0.3523,0.4206,0.3942","0.4258,0.6470,0.3523,0.4207,0.3943"
/model/layers.18/mlp/act_fn/Mul,"0.0031,0.0029,0.0028,0.0026,0.0023",passed 100,failed 98,failed 24,"-0.1273,0.3924,-0.2145,-0.1347,-0.1693","-0.1272,0.3926,-0.2144,-0.1344,-0.1694"
ConvertLike_6757,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"6.0000,11.0000,6.0000,5.0000,7.0000","6.0000,11.0000,6.0000,5.0000,7.0000"
Transpose_6759,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"6.0000,5.0000,11.0000,13.0000,9.0000","6.0000,5.0000,11.0000,13.0000,9.0000"
Subtract_6760,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-2.0000,-3.0000,3.0000,5.0000,1.0000","-2.0000,-3.0000,3.0000,5.0000,1.0000"
Multiply_6761,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-0.0226,0.0300,0.0328,-0.0620,-0.0148","-0.0226,0.0300,0.0328,-0.0620,-0.0148"
Transpose_6762,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-0.0226,0.0339,-0.0226,-0.0339,-0.0113","-0.0226,0.0339,-0.0226,-0.0339,-0.0113"
Reshape_6764,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-0.0226,0.0339,-0.0226,-0.0339,-0.0113","-0.0226,0.0339,-0.0226,-0.0339,-0.0113"
Slice_6769,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-0.0226,0.0339,-0.0226,-0.0339,-0.0113","-0.0226,0.0339,-0.0226,-0.0339,-0.0113"
/model/layers.18/mlp/up_proj/MatMul_Q4,"0.0025,0.0023,0.0023,0.0021,0.0020",passed 100,failed 95,failed 8,"0.5171,0.9113,0.7476,-0.6707,-1.2893","0.5176,0.9116,0.7480,-0.6704,-1.2900"
/model/layers.18/mlp/Mul,"0.0095,0.0079,0.0066,0.0053,0.0038",passed 100,failed 97,failed 32,"-0.0658,0.3575,-0.1604,0.0903,0.2183","-0.0659,0.3579,-0.1604,0.0901,0.2186"
ConvertLike_6774,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"9.0000,0.0000,8.0000,12.0000,12.0000","9.0000,0.0000,8.0000,12.0000,12.0000"
Transpose_6776,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"9.0000,5.0000,10.0000,13.0000,5.0000","9.0000,5.0000,10.0000,13.0000,5.0000"
Subtract_6777,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"1.0000,-3.0000,2.0000,5.0000,-3.0000","1.0000,-3.0000,2.0000,5.0000,-3.0000"
Multiply_6778,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0141,-0.0348,-0.0242,-0.0500,0.0385","0.0141,-0.0348,-0.0242,-0.0500,0.0385"
Transpose_6779,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0141,-0.1128,0.0000,0.0564,0.0564","0.0141,-0.1128,0.0000,0.0564,0.0564"
Reshape_6781,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0141,-0.1128,0.0000,0.0564,0.0564","0.0141,-0.1128,0.0000,0.0564,0.0564"
Slice_6786,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0141,-0.1128,0.0000,0.0564,0.0564","0.0141,-0.1128,0.0000,0.0564,0.0564"
/model/layers.18/mlp/down_proj/MatMul_Q4,"0.0174,0.0138,0.0131,0.0064,0.0062",failed 99,failed 48,failed 2,"-1.6888,0.0021,-1.0872,-1.3136,1.3919","-1.6885,0.0004,-1.0879,-1.3154,1.3955"
/model/layers.19/input_layernorm/output_3,"0.0137,0.0135,0.0134,0.0065,0.0065",failed 99,failed 47,failed 2,"-1.4529,1.1674,0.0591,1.8966,2.2016","-1.4521,1.1650,0.0586,1.8955,2.2051"
Multiply_6789,"0.5467,0.4255,0.2875,0.0705,0.0690",failed 86,failed 34,failed 3,"2.1109,1.3629,0.0035,3.5971,4.8472","2.1094,1.3574,0.0034,3.5938,4.8633"
/model/layers.19/input_layernorm/SkipLayerNorm_,0.0041,passed 100,failed 0,failed 0,3.7576,3.7617
Add_6793,0.0041,passed 100,failed 0,failed 0,3.7576,3.7617
Sqrt_6794,0.0010,passed 100,passed 100,failed 0,1.9385,1.9395
/model/layers.19/input_layernorm/SkipLayerNorm__1,0.0002,passed 100,passed 100,failed 0,0.5159,0.5156
Multiply_6797,"0.0061,0.0048,0.0037,0.0030,0.0030",passed 100,failed 81,failed 5,"-0.7495,0.6022,0.0305,0.9784,1.1358","-0.7485,0.6006,0.0302,0.9775,1.1367"
/model/layers.19/input_layernorm/SkipLayerNorm_/model/layers.19/input_layernorm/output_0,"0.0022,0.0016,0.0016,0.0016,0.0015",passed 100,failed 98,failed 10,"-0.3704,0.2988,0.0151,0.4968,0.5346","-0.3699,0.2979,0.0150,0.4963,0.5352"
ConvertLike_6801,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"9.0000,7.0000,13.0000,8.0000,4.0000","9.0000,7.0000,13.0000,8.0000,4.0000"
Transpose_6803,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"9.0000,6.0000,11.0000,4.0000,6.0000","9.0000,6.0000,11.0000,4.0000,6.0000"
Subtract_6804,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"1.0000,-2.0000,3.0000,-4.0000,-2.0000","1.0000,-2.0000,3.0000,-4.0000,-2.0000"
Multiply_6805,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-0.0068,-0.0151,0.0256,-0.0294,0.0237","-0.0068,-0.0151,0.0256,-0.0294,0.0237"
Transpose_6806,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-0.0068,0.0068,-0.0342,-0.0000,0.0273","-0.0068,0.0068,-0.0342,-0.0000,0.0273"
Reshape_6808,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-0.0068,0.0068,-0.0342,-0.0000,0.0273","-0.0068,0.0068,-0.0342,-0.0000,0.0273"
Slice_6813,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-0.0068,0.0068,-0.0342,-0.0000,0.0273","-0.0068,0.0068,-0.0342,-0.0000,0.0273"
/model/layers.19/attn/qkv_proj/MatMul/output_0,"0.0054,0.0051,0.0050,0.0050,0.0047",passed 100,failed 71,failed 4,"-0.2583,-0.2335,-1.0707,-1.1132,-1.1367","-0.2581,-0.2340,-1.0713,-1.1123,-1.1367"
