Subgraph,5 highest absolute error,0.01 result,0.001 result,4dp result,First 5 CPU Tensors,First 5 NPU Tensors
/model/layers.28/input_layernorm/output_3,Model loading failed
ConvertLike_8042,Model loading failed
Transpose_8044,Model loading failed
Subtract_8045,Model loading failed
Multiply_8046,Model loading failed
Transpose_8047,Model loading failed
Reshape_8049,Model loading failed
Slice_8054,Model loading failed
/model/layers.28/attn/o_proj/MatMul_Q4,Model loading failed
/model/layers.28/post_attention_layernorm/SkipLayerNorm_/model/layers.28/post_attention_layernorm/output_3,Model loading failed
Multiply_8057,Model loading failed
/model/layers.28/post_attention_layernorm/SkipLayerNorm_,Model loading failed
Add_8061,Model loading failed
Sqrt_8062,Model loading failed
/model/layers.28/post_attention_layernorm/SkipLayerNorm__1,Model loading failed
Multiply_8065,Model loading failed
/model/layers.28/post_attention_layernorm/SkipLayerNorm_/model/layers.28/post_attention_layernorm/output_0,Model loading failed
ConvertLike_8069,Model loading failed
Transpose_8071,Model loading failed
Subtract_8072,Model loading failed
Multiply_8073,Model loading failed
Transpose_8074,Model loading failed
Reshape_8076,Model loading failed
Slice_8081,Model loading failed
/model/layers.28/mlp/gate_proj/MatMul_Q4,Model loading failed
/model/layers.28/mlp/act_fn/Sigmoid,Model loading failed
/model/layers.28/mlp/act_fn/Mul,Model loading failed
ConvertLike_8087,Model loading failed
Transpose_8089,Model loading failed
Subtract_8090,Model loading failed
Multiply_8091,Model loading failed
Transpose_8092,Model loading failed
Reshape_8094,Model loading failed
Slice_8099,Model loading failed
/model/layers.28/mlp/up_proj/MatMul_Q4,Model loading failed
/model/layers.28/mlp/Mul,Model loading failed
ConvertLike_8104,Model loading failed
Transpose_8106,Model loading failed
Subtract_8107,Model loading failed
Multiply_8108,Model loading failed
Transpose_8109,Model loading failed
Reshape_8111,Model loading failed
Slice_8116,Model loading failed
/model/layers.28/mlp/down_proj/MatMul_Q4,Model loading failed
/model/layers.29/input_layernorm/output_3,Model loading failed
Multiply_8119,Model loading failed
/model/layers.29/input_layernorm/SkipLayerNorm_,Model loading failed
Add_8123,Model loading failed
Sqrt_8124,Model loading failed
/model/layers.29/input_layernorm/SkipLayerNorm__1,Model loading failed
Multiply_8127,Model loading failed
/model/layers.29/input_layernorm/SkipLayerNorm_/model/layers.29/input_layernorm/output_0,Model loading failed
ConvertLike_8131,Model loading failed
Transpose_8133,Model loading failed
Subtract_8134,Model loading failed
Multiply_8135,Model loading failed
Transpose_8136,Model loading failed
Reshape_8138,Model loading failed
Slice_8143,Model loading failed
/model/layers.29/attn/qkv_proj/MatMul/output_0,Model loading failed
