Subgraph,5 highest absolute error,0.01 result,0.001 result,4dp result,First 5 CPU Tensors,First 5 NPU Tensors
/model/layers.27/input_layernorm/output_3,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0895,0.0787,0.8183,0.3848,0.2479","0.0895,0.0787,0.8183,0.3848,0.2479"
ConvertLike_7909,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"6.0000,8.0000,3.0000,13.0000,10.0000","6.0000,8.0000,3.0000,13.0000,10.0000"
Transpose_7911,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"6.0000,3.0000,4.0000,8.0000,13.0000","6.0000,3.0000,4.0000,8.0000,13.0000"
Subtract_7912,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-2.0000,-5.0000,-4.0000,0.0000,5.0000","-2.0000,-5.0000,-4.0000,0.0000,5.0000"
Multiply_7913,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0219,-0.0656,-0.0713,-0.0000,-0.0531","0.0219,-0.0656,-0.0713,-0.0000,-0.0531"
Transpose_7914,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0219,-0.0000,0.0546,-0.0546,-0.0219","0.0219,-0.0000,0.0546,-0.0546,-0.0219"
Reshape_7916,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0219,-0.0000,0.0546,-0.0546,-0.0219","0.0219,-0.0000,0.0546,-0.0546,-0.0219"
Slice_7921,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0219,-0.0000,0.0546,-0.0546,-0.0219","0.0219,-0.0000,0.0546,-0.0546,-0.0219"
/model/layers.27/attn/o_proj/MatMul_Q4,"0.0018,0.0015,0.0015,0.0013,0.0013",passed 100,failed 98,failed 11,"-0.6675,0.5905,-0.6145,0.6186,0.7882","-0.6675,0.5898,-0.6143,0.6182,0.7881"
/model/layers.27/post_attention_layernorm/SkipLayerNorm_/model/layers.27/post_attention_layernorm/output_3,"0.0026,0.0022,0.0022,0.0021,0.0021",passed 100,failed 93,failed 9,"-0.3964,0.6248,0.0274,1.5225,1.3553","-0.3965,0.6240,0.0278,1.5215,1.3555"
Multiply_7924,"0.0320,0.0278,0.0242,0.0224,0.0167",failed 99,failed 67,failed 12,"0.1572,0.3903,0.0007,2.3180,1.8367","0.1572,0.3894,0.0008,2.3145,1.8369"
/model/layers.27/post_attention_layernorm/SkipLayerNorm_,0.0005,passed 100,passed 100,failed 0,2.2768,2.2773
Add_7928,0.0005,passed 100,passed 100,failed 0,2.2769,2.2773
Sqrt_7929,0.0001,passed 100,passed 100,failed 0,1.5089,1.5088
/model/layers.27/post_attention_layernorm/SkipLayerNorm__1,0.0001,passed 100,passed 100,failed 0,0.6627,0.6626
Multiply_7932,"0.0028,0.0022,0.0022,0.0022,0.0021",passed 100,failed 95,failed 10,"-0.2627,0.4141,0.0181,1.0090,0.8982","-0.2627,0.4136,0.0184,1.0078,0.8979"
/model/layers.27/post_attention_layernorm/SkipLayerNorm_/model/layers.27/post_attention_layernorm/output_0,"0.0018,0.0016,0.0014,0.0014,0.0013",passed 100,failed 99,failed 21,"-0.1365,0.2135,0.0094,0.5321,0.4666","-0.1365,0.2133,0.0096,0.5312,0.4666"
ConvertLike_7936,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"4.0000,13.0000,6.0000,4.0000,7.0000","4.0000,13.0000,6.0000,4.0000,7.0000"
Transpose_7938,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"4.0000,10.0000,8.0000,4.0000,6.0000","4.0000,10.0000,8.0000,4.0000,6.0000"
Subtract_7939,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-4.0000,2.0000,0.0000,-4.0000,-2.0000","-4.0000,2.0000,0.0000,-4.0000,-2.0000"
Multiply_7940,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-0.0437,-0.0193,-0.0000,0.0298,-0.0186","-0.0437,-0.0193,-0.0000,0.0298,-0.0186"
Transpose_7941,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-0.0437,0.0546,-0.0219,-0.0437,-0.0109","-0.0437,0.0546,-0.0219,-0.0437,-0.0109"
