Subgraph,5 highest absolute error,0.01 result,0.001 result,4dp result,First 5 CPU Tensors,First 5 NPU Tensors
/model/layers.16/input_layernorm/output_3,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0895,0.0787,0.8183,0.3848,0.2479","0.0895,0.0787,0.8183,0.3848,0.2479"
ConvertLike_6446,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"12.0000,5.0000,0.0000,7.0000,6.0000","12.0000,5.0000,0.0000,7.0000,6.0000"
Transpose_6448,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"12.0000,7.0000,7.0000,4.0000,3.0000","12.0000,7.0000,7.0000,4.0000,3.0000"
Subtract_6449,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"4.0000,-1.0000,-1.0000,-4.0000,-5.0000","4.0000,-1.0000,-1.0000,-4.0000,-5.0000"
Multiply_6450,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-0.0430,0.0129,0.0076,-0.0334,-0.0568","-0.0430,0.0129,0.0076,-0.0334,-0.0568"
Transpose_6451,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-0.0430,0.0322,0.0859,0.0107,0.0215","-0.0430,0.0322,0.0859,0.0107,0.0215"
Reshape_6453,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-0.0430,0.0322,0.0859,0.0107,0.0215","-0.0430,0.0322,0.0859,0.0107,0.0215"
Slice_6458,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-0.0430,0.0322,0.0859,0.0107,0.0215","-0.0430,0.0322,0.0859,0.0107,0.0215"
/model/layers.16/attn/o_proj/MatMul_Q4,"0.0012,0.0012,0.0011,0.0011,0.0011",passed 100,failed 99,failed 13,"0.4165,-1.7396,-1.1583,-0.2197,-2.2430","0.4165,-1.7393,-1.1582,-0.2195,-2.2422"
/model/layers.16/post_attention_layernorm/SkipLayerNorm_/model/layers.16/post_attention_layernorm/output_3,"0.0020,0.0018,0.0017,0.0017,0.0017",passed 100,failed 97,failed 11,"0.6875,-1.7053,-0.5164,0.6842,-1.6760","0.6875,-1.7051,-0.5161,0.6846,-1.6758"
Multiply_6461,"0.0140,0.0128,0.0120,0.0119,0.0114",failed 99,failed 76,failed 15,"0.4727,2.9081,0.2667,0.4681,2.8089","0.4727,2.9082,0.2664,0.4688,2.8086"
/model/layers.16/post_attention_layernorm/SkipLayerNorm_,0.0003,passed 100,passed 100,failed 0,1.4939,1.4941
Add_6465,0.0003,passed 100,passed 100,failed 0,1.4939,1.4941
Sqrt_6466,0.0004,passed 100,passed 100,failed 0,1.2222,1.2227
/model/layers.16/post_attention_layernorm/SkipLayerNorm__1,0.0003,passed 100,passed 100,failed 0,0.8182,0.8179
Multiply_6469,"0.0028,0.0027,0.0027,0.0026,0.0026",passed 100,failed 93,failed 9,"0.5625,-1.3952,-0.4225,0.5598,-1.3712","0.5625,-1.3945,-0.4221,0.5601,-1.3701"
/model/layers.16/post_attention_layernorm/SkipLayerNorm_/model/layers.16/post_attention_layernorm/output_0,"0.0010,0.0009,0.0009,0.0009,0.0008",passed 100,passed 100,failed 29,"0.1670,-0.3897,-0.1271,0.1553,-0.4017","0.1670,-0.3894,-0.1270,0.1553,-0.4014"
ConvertLike_6473,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"4.0000,12.0000,5.0000,14.0000,8.0000","4.0000,12.0000,5.0000,14.0000,8.0000"
Transpose_6475,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"4.0000,12.0000,5.0000,2.0000,0.0000","4.0000,12.0000,5.0000,2.0000,0.0000"
Subtract_6476,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-4.0000,4.0000,-3.0000,-6.0000,-8.0000","-4.0000,4.0000,-3.0000,-6.0000,-8.0000"
Multiply_6477,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0315,-0.0481,-0.0215,0.0414,0.0928","0.0315,-0.0481,-0.0215,0.0414,0.0928"
Transpose_6478,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0315,-0.0315,0.0236,-0.0472,-0.0000","0.0315,-0.0315,0.0236,-0.0472,-0.0000"
Reshape_6480,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0315,-0.0315,0.0236,-0.0472,-0.0000","0.0315,-0.0315,0.0236,-0.0472,-0.0000"
Slice_6485,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0315,-0.0315,0.0236,-0.0472,-0.0000","0.0315,-0.0315,0.0236,-0.0472,-0.0000"
/model/layers.16/mlp/gate_proj/MatMul_Q4,"0.0020,0.0018,0.0018,0.0018,0.0018",passed 100,failed 98,failed 11,"-0.3016,-0.6640,0.2116,-0.6265,1.7246","-0.3013,-0.6641,0.2115,-0.6260,1.7236"
/model/layers.16/mlp/act_fn/Sigmoid,"0.0006,0.0006,0.0006,0.0005,0.0005",passed 100,passed 100,failed 27,"0.4252,0.3398,0.5527,0.3483,0.8487","0.4253,0.3398,0.5527,0.3484,0.8486"
/model/layers.16/mlp/act_fn/Mul,"0.0028,0.0026,0.0023,0.0021,0.0021",passed 100,failed 98,failed 24,"-0.1282,-0.2257,0.1170,-0.2182,1.4637","-0.1282,-0.2257,0.1169,-0.2181,1.4629"
ConvertLike_6491,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"12.0000,7.0000,7.0000,5.0000,12.0000","12.0000,7.0000,7.0000,5.0000,12.0000"
Transpose_6493,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"12.0000,6.0000,7.0000,4.0000,10.0000","12.0000,6.0000,7.0000,4.0000,10.0000"
Subtract_6494,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"4.0000,-2.0000,-1.0000,-4.0000,2.0000","4.0000,-2.0000,-1.0000,-4.0000,2.0000"
Multiply_6495,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-0.0356,0.0216,0.0123,-0.0515,-0.0148","-0.0356,0.0216,0.0123,-0.0515,-0.0148"
Transpose_6496,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-0.0356,0.0089,0.0089,0.0267,-0.0356","-0.0356,0.0089,0.0089,0.0267,-0.0356"
Reshape_6498,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-0.0356,0.0089,0.0089,0.0267,-0.0356","-0.0356,0.0089,0.0089,0.0267,-0.0356"
