Subgraph,5 highest absolute error,0.01 result,0.001 result,4dp result,First 5 CPU Tensors,First 5 NPU Tensors
/model/layers.12/input_layernorm/output_3,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0895,0.0787,0.8183,0.3848,0.2479","0.0895,0.0787,0.8183,0.3848,0.2479"
ConvertLike_5914,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"4.0000,4.0000,12.0000,4.0000,4.0000","4.0000,4.0000,12.0000,4.0000,4.0000"
Transpose_5916,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"4.0000,8.0000,8.0000,12.0000,10.0000","4.0000,8.0000,8.0000,12.0000,10.0000"
Subtract_5917,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-4.0000,0.0000,0.0000,4.0000,2.0000","-4.0000,0.0000,0.0000,4.0000,2.0000"
Multiply_5918,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-0.0393,-0.0000,0.0000,-0.0262,-0.0233","-0.0393,-0.0000,0.0000,-0.0262,-0.0233"
Transpose_5919,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-0.0393,-0.0393,0.0393,-0.0393,-0.0393","-0.0393,-0.0393,0.0393,-0.0393,-0.0393"
Reshape_5921,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-0.0393,-0.0393,0.0393,-0.0393,-0.0393","-0.0393,-0.0393,0.0393,-0.0393,-0.0393"
Slice_5926,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"-0.0393,-0.0393,0.0393,-0.0393,-0.0393","-0.0393,-0.0393,0.0393,-0.0393,-0.0393"
/model/layers.12/attn/o_proj/MatMul_Q4,"0.0012,0.0012,0.0012,0.0011,0.0010",passed 100,failed 99,failed 14,"-1.4995,-0.8688,0.0151,2.0083,-0.6956","-1.4990,-0.8691,0.0148,2.0078,-0.6953"
/model/layers.12/post_attention_layernorm/SkipLayerNorm_/model/layers.12/post_attention_layernorm/output_3,"0.0019,0.0019,0.0018,0.0017,0.0017",passed 100,failed 97,failed 11,"-1.2284,-0.8345,0.6570,2.9122,-0.1285","-1.2285,-0.8350,0.6567,2.9121,-0.1284"
Multiply_5929,"0.0141,0.0131,0.0123,0.0111,0.0098",failed 99,failed 78,failed 16,"1.5090,0.6963,0.4316,8.4808,0.0165","1.5088,0.6973,0.4314,8.4766,0.0165"
/model/layers.12/post_attention_layernorm/SkipLayerNorm_,0.0002,passed 100,passed 100,failed 0,1.3498,1.3496
Add_5933,0.0002,passed 100,passed 100,failed 0,1.3498,1.3496
Sqrt_5934,0.0003,passed 100,passed 100,failed 0,1.1618,1.1621
/model/layers.12/post_attention_layernorm/SkipLayerNorm__1,0.0004,passed 100,passed 100,failed 0,0.8607,0.8604
Multiply_5937,"0.0028,0.0028,0.0025,0.0024,0.0024",passed 100,failed 91,failed 9,"-1.0573,-0.7183,0.5655,2.5066,-0.1106","-1.0566,-0.7183,0.5649,2.5059,-0.1105"
/model/layers.12/post_attention_layernorm/SkipLayerNorm_/model/layers.12/post_attention_layernorm/output_0,"0.0008,0.0008,0.0007,0.0007,0.0007",passed 100,passed 100,failed 33,"-0.2685,-0.1754,0.1469,0.5875,-0.0279","-0.2683,-0.1754,0.1467,0.5874,-0.0278"
ConvertLike_5941,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"9.0000,9.0000,4.0000,8.0000,7.0000","9.0000,9.0000,4.0000,8.0000,7.0000"
Transpose_5943,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"9.0000,0.0000,12.0000,6.0000,9.0000","9.0000,0.0000,12.0000,6.0000,9.0000"
Subtract_5944,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"1.0000,-8.0000,4.0000,-2.0000,1.0000","1.0000,-8.0000,4.0000,-2.0000,1.0000"
Multiply_5945,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0112,0.0718,0.0581,0.0215,0.0134","0.0112,0.0718,0.0581,0.0215,0.0134"
Transpose_5946,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0112,0.0112,-0.0447,0.0000,-0.0112","0.0112,0.0112,-0.0447,0.0000,-0.0112"
Reshape_5948,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0112,0.0112,-0.0447,0.0000,-0.0112","0.0112,0.0112,-0.0447,0.0000,-0.0112"
Slice_5953,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0112,0.0112,-0.0447,0.0000,-0.0112","0.0112,0.0112,-0.0447,0.0000,-0.0112"
