Subgraph,5 highest absolute error,0.01 result,0.001 result,4dp result,First 5 CPU Tensors,First 5 NPU Tensors
/model/layers.7/input_layernorm/output_3,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0895,0.0787,0.8183,0.3848,0.2479","0.0895,0.0787,0.8183,0.3848,0.2479"
/model/layers.7/attn/o_proj/MatMul_Q4,"0.0011,0.0011,0.0011,0.0011,0.0011",passed 100,failed 99,failed 15,"0.1344,0.3499,1.0703,0.5555,0.8052","0.1342,0.3501,1.0703,0.5552,0.8052"
/model/layers.7/post_attention_layernorm/SkipLayerNorm_/model/layers.7/post_attention_layernorm/output_3,"0.0020,0.0018,0.0016,0.0016,0.0016",passed 100,failed 98,failed 11,"0.4055,0.3842,1.7121,1.4594,1.3722","0.4053,0.3843,1.7129,1.4590,1.3721"
/model/layers.7/post_attention_layernorm/SkipLayerNorm_,0.0003,passed 100,passed 100,failed 0,1.2747,1.2744
/model/layers.7/post_attention_layernorm/SkipLayerNorm__1,0.0000,passed 100,passed 100,passed 100,0.8857,0.8857
/model/layers.7/post_attention_layernorm/SkipLayerNorm_/model/layers.7/post_attention_layernorm/output_0,"0.0005,0.0005,0.0005,0.0004,0.0004",passed 100,passed 100,failed 50,"0.0722,0.0658,0.3036,0.2449,0.2552","0.0722,0.0658,0.3037,0.2448,0.2551"
/model/layers.7/mlp/gate_proj/MatMul_Q4,"0.0022,0.0011,0.0009,0.0009,0.0009",passed 100,failed 99,failed 17,"0.4576,-0.0526,-0.2636,0.3144,0.0689","0.4573,-0.0526,-0.2634,0.3145,0.0688"
/model/layers.7/mlp/act_fn/Sigmoid,"0.0005,0.0005,0.0005,0.0005,0.0005",passed 100,passed 100,failed 29,"0.6124,0.4869,0.4345,0.5780,0.5172","0.6123,0.4868,0.4346,0.5776,0.5171"
/model/layers.7/mlp/act_fn/Mul,"0.0015,0.0012,0.0012,0.0011,0.0010",passed 100,failed 99,failed 33,"0.2802,-0.0256,-0.1145,0.1817,0.0356","0.2800,-0.0256,-0.1145,0.1816,0.0356"
/model/layers.7/mlp/up_proj/MatMul_Q4,"0.0010,0.0009,0.0009,0.0009,0.0008",passed 100,passed 100,failed 19,"-0.6968,-0.3016,0.5674,-0.3138,-0.3731","-0.6973,-0.3015,0.5674,-0.3140,-0.3728"
/model/layers.7/mlp/Mul,"0.0025,0.0012,0.0008,0.0008,0.0007",passed 100,failed 99,failed 58,"-0.1953,0.0077,-0.0650,-0.0570,-0.0133","-0.1953,0.0077,-0.0649,-0.0570,-0.0133"
/model/layers.7/mlp/down_proj/MatMul_Q4,"0.0125,0.0083,0.0047,0.0026,0.0025",failed 99,failed 99,failed 13,"0.0560,0.0023,-0.0684,-0.0105,-0.1012","0.0562,0.0018,-0.0682,-0.0104,-0.1013"
/model/layers.8/input_layernorm/output_3,"0.0135,0.0077,0.0058,0.0032,0.0027",failed 99,failed 93,failed 8,"0.4615,0.3865,1.6437,1.4489,1.2711","0.4614,0.3860,1.6445,1.4482,1.2705"
/model/layers.8/input_layernorm/SkipLayerNorm_,0.0006,passed 100,passed 100,failed 0,1.5084,1.5078
/model/layers.8/input_layernorm/SkipLayerNorm__1,0.0002,passed 100,passed 100,failed 0,0.8142,0.8145
/model/layers.8/input_layernorm/SkipLayerNorm_/model/layers.8/input_layernorm/output_0,"0.0011,0.0010,0.0010,0.0010,0.0010",passed 100,failed 99,failed 23,"0.1255,0.1119,0.4444,0.4032,0.3072","0.1255,0.1118,0.4448,0.4033,0.3074"
/model/layers.8/attn/qkv_proj/MatMul/output_0,"0.0032,0.0031,0.0030,0.0030,0.0029",passed 100,failed 93,failed 8,"0.0795,0.8986,-0.7185,0.0396,0.5514","0.0789,0.8989,-0.7192,0.0392,0.5513"
