Subgraph,4dp result,First 5 CPU Tensors,First 5 NPU Tensors
/model/layers.23/input_layernorm/output_3,passed 100,"['0.0895,0.0787,0.8183,0.3848,0.2479']","['0.0895,0.0787,0.8183,0.3848,0.2479']"
/model/layers.23/attn/o_proj/MatMul_Q4,failed 11,"['-0.0498,-0.5337,0.6001,0.8807,-1.4470']","['-0.0498,-0.5337,0.6001,0.8804,-1.4473']"
/model/layers.23/post_attention_layernorm/SkipLayerNorm_/model/layers.23/post_attention_layernorm/output_3,failed 9,"['0.2213,-0.4994,1.2419,1.7846,-0.8800']","['0.2212,-0.4995,1.2422,1.7842,-0.8804']"
/model/layers.23/post_attention_layernorm/SkipLayerNorm_,failed 0,['2.0696'],['2.0703']
/model/layers.23/post_attention_layernorm/SkipLayerNorm__1,failed 0,['0.6951'],['0.6953']
/model/layers.23/post_attention_layernorm/SkipLayerNorm_/model/layers.23/post_attention_layernorm/output_0,failed 25,"['0.0634,-0.1410,0.3693,0.5258,-0.2557']","['0.0634,-0.1411,0.3694,0.5259,-0.2559']"
/model/layers.23/mlp/gate_proj/MatMul_Q4,failed 8,"['0.5200,-0.0913,-0.5584,1.4695,-0.6893']","['0.5200,-0.0912,-0.5586,1.4707,-0.6904']"
/model/layers.23/mlp/act_fn/Sigmoid,failed 24,"['0.6271,0.4772,0.3639,0.8130,0.3342']","['0.6270,0.4773,0.3638,0.8130,0.3340']"
/model/layers.23/mlp/act_fn/Mul,failed 21,"['0.3261,-0.0436,-0.2032,1.1947,-0.2304']","['0.3259,-0.0435,-0.2032,1.1953,-0.2306']"
/model/layers.23/mlp/up_proj/MatMul_Q4,failed 8,"['-0.1943,-0.8064,-1.6602,-1.0896,0.0937']","['-0.1945,-0.8066,-1.6602,-1.0898,0.0937']"
/model/layers.23/mlp/Mul,failed 24,"['-0.0634,0.0351,0.3374,-1.3018,-0.0216']","['-0.0634,0.0351,0.3374,-1.3027,-0.0216']"
/model/layers.23/mlp/down_proj/MatMul_Q4,failed 2,"['0.8977,-4.3803,-1.5786,-0.0151,-0.7942']","['0.8970,-4.3828,-1.5781,-0.0159,-0.7935']"
/model/layers.24/input_layernorm/output_3,failed 1,"['1.1191,-4.8797,-0.3367,1.7694,-1.6742']","['1.1182,-4.8828,-0.3359,1.7686,-1.6738']"
/model/layers.24/input_layernorm/SkipLayerNorm_,failed 0,['6.0608'],['6.0625']
/model/layers.24/input_layernorm/SkipLayerNorm__1,failed 0,['0.4062'],['0.4060']
/model/layers.24/input_layernorm/SkipLayerNorm_/model/layers.24/input_layernorm/output_0,failed 8,"['0.2663,-1.1924,-0.0785,0.4296,-0.3825']","['0.2661,-1.1924,-0.0783,0.4292,-0.3823']"
/model/layers.24/attn/qkv_proj/MatMul/output_0,failed 4,"['-0.6372,-0.1998,0.6873,0.4285,0.0188']","['-0.6372,-0.2000,0.6865,0.4270,0.0189']"
