Subgraph,4dp result,First 5 CPU Tensors,First 5 NPU Tensors
/model/layers.30/input_layernorm/output_3,passed 100,"['0.0895,0.0787,0.8183,0.3848,0.2479']","['0.0895,0.0787,0.8183,0.3848,0.2479']"
/model/layers.30/attn/o_proj/MatMul_Q4,failed 9,"['-2.8668,-1.8407,-3.1455,0.6118,0.9432']","['-2.8672,-1.8408,-3.1445,0.6118,0.9429']"
/model/layers.30/post_attention_layernorm/SkipLayerNorm_/model/layers.30/post_attention_layernorm/output_3,failed 9,"['-2.5957,-1.8064,-2.5036,1.5157,1.5102']","['-2.5957,-1.8066,-2.5020,1.5156,1.5098']"
/model/layers.30/post_attention_layernorm/SkipLayerNorm_,failed 0,['2.5459'],['2.5469']
/model/layers.30/post_attention_layernorm/SkipLayerNorm__1,failed 0,['0.6267'],['0.6265']
/model/layers.30/post_attention_layernorm/SkipLayerNorm_/model/layers.30/post_attention_layernorm/output_0,failed 16,"['-0.9850,-0.6766,-0.9562,0.5714,0.5694']","['-0.9844,-0.6763,-0.9551,0.5713,0.5688']"
/model/layers.30/mlp/gate_proj/MatMul_Q4,failed 5,"['-0.0886,0.5436,1.6744,0.8619,-0.5236']","['-0.0886,0.5435,1.6738,0.8613,-0.5234']"
/model/layers.30/mlp/act_fn/Sigmoid,failed 19,"['0.4779,0.6327,0.8422,0.7031,0.3720']","['0.4778,0.6328,0.8423,0.7031,0.3721']"
/model/layers.30/mlp/act_fn/Mul,failed 14,"['-0.0424,0.3439,1.4101,0.6060,-0.1948']","['-0.0423,0.3440,1.4102,0.6055,-0.1947']"
/model/layers.30/mlp/up_proj/MatMul_Q4,failed 4,"['-0.3299,0.9775,1.2960,0.4431,1.8139']","['-0.3296,0.9775,1.2949,0.4431,1.8125']"
/model/layers.30/mlp/Mul,failed 12,"['0.0140,0.3362,1.8274,0.2685,-0.3533']","['0.0140,0.3362,1.8262,0.2683,-0.3528']"
/model/layers.30/mlp/down_proj/MatMul_Q4,failed 0,"['8.7979,-7.1746,2.1099,9.0531,-0.5893']","['8.7891,-7.1641,2.1035,9.0469,-0.5864']"
/model/layers.31/input_layernorm/output_3,failed 0,"['6.2022,-8.9810,-0.3937,10.5688,0.9209']","['6.1953,-8.9688,-0.3984,10.5625,0.9233']"
/model/layers.31/input_layernorm/SkipLayerNorm_,failed 0,['22.6220'],['22.5781']
/model/layers.31/input_layernorm/SkipLayerNorm__1,failed 0,['0.2102'],['0.2106']
/model/layers.31/input_layernorm/SkipLayerNorm_/model/layers.31/input_layernorm/output_0,failed 5,"['0.9118,-1.3350,-0.0556,1.5624,0.1301']","['0.9121,-1.3350,-0.0564,1.5645,0.1306']"
/model/layers.31/attn/qkv_proj/MatMul/output_0,failed 2,"['1.8453,-0.4014,1.3657,-0.1509,-0.4013']","['1.8496,-0.4038,1.3662,-0.1516,-0.4011']"
