Subgraph,4dp result,First 5 CPU Tensors,First 5 NPU Tensors
/model/layers.2/input_layernorm/output_3,passed 100,"['0.0895,0.0787,0.8183,0.3848,0.2479']","['0.0895,0.0787,0.8183,0.3848,0.2479']"
/model/layers.2/attn/o_proj/MatMul_Q4,failed 19,"['0.6265,0.3365,-0.5692,-0.2960,1.0449']","['0.6265,0.3364,-0.5688,-0.2961,1.0449']"
/model/layers.2/post_attention_layernorm/SkipLayerNorm_/model/layers.2/post_attention_layernorm/output_3,failed 14,"['0.8976,0.3708,0.0727,0.6079,1.6120']","['0.8975,0.3706,0.0732,0.6074,1.6113']"
/model/layers.2/post_attention_layernorm/SkipLayerNorm_,failed 0,['1.0647'],['1.0645']
/model/layers.2/post_attention_layernorm/SkipLayerNorm__1,failed 0,['0.9691'],['0.9697']
/model/layers.2/post_attention_layernorm/SkipLayerNorm_/model/layers.2/post_attention_layernorm/output_0,failed 50,"['0.1007,0.0426,0.0081,0.0670,0.1831']","['0.1007,0.0426,0.0081,0.0670,0.1831']"
/model/layers.2/mlp/gate_proj/MatMul_Q4,failed 20,"['0.2151,-0.1881,0.0855,-0.1663,0.1236']","['0.2153,-0.1882,0.0856,-0.1664,0.1237']"
/model/layers.2/mlp/act_fn/Sigmoid,failed 30,"['0.5536,0.4531,0.5214,0.4585,0.5309']","['0.5537,0.4531,0.5215,0.4585,0.5308']"
/model/layers.2/mlp/act_fn/Mul,failed 43,"['0.1191,-0.0852,0.0446,-0.0763,0.0656']","['0.1192,-0.0853,0.0446,-0.0763,0.0657']"
/model/layers.2/mlp/up_proj/MatMul_Q4,failed 21,"['0.2581,-0.1979,0.2557,0.2171,-0.1464']","['0.2583,-0.1982,0.2559,0.2174,-0.1464']"
/model/layers.2/mlp/Mul,failed 75,"['0.0307,0.0169,0.0114,-0.0166,-0.0096']","['0.0308,0.0169,0.0114,-0.0166,-0.0096']"
/model/layers.2/mlp/down_proj/MatMul_Q4,failed 23,"['0.0004,0.1243,0.0711,0.0516,0.0302']","['0.0003,0.1245,0.0712,0.0515,0.0301']"
/model/layers.3/input_layernorm/output_3,failed 9,"['0.8980,0.4951,0.1438,0.6595,1.6422']","['0.8979,0.4951,0.1444,0.6592,1.6416']"
/model/layers.3/input_layernorm/SkipLayerNorm_,failed 0,['1.0883'],['1.0889']
/model/layers.3/input_layernorm/SkipLayerNorm__1,failed 0,['0.9586'],['0.9580']
/model/layers.3/input_layernorm/SkipLayerNorm_/model/layers.3/input_layernorm/output_0,failed 46,"['0.1295,0.0621,0.0166,0.0852,0.1875']","['0.1294,0.0621,0.0166,0.0851,0.1874']"
/model/layers.3/attn/qkv_proj/MatMul/output_0,failed 17,"['-0.6631,0.2152,-0.0013,-0.1166,0.2326']","['-0.6626,0.2147,-0.0015,-0.1164,0.2327']"
