Subgraph,5 highest absolute error,0.01 result,0.001 result,4dp result,First 5 CPU Tensors,First 5 NPU Tensors
/model/layers.13/input_layernorm/output_3,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0895,0.0787,0.8183,0.3848,0.2479","0.0895,0.0787,0.8183,0.3848,0.2479"
/model/layers.13/attn/o_proj/MatMul_Q4,"0.0018,0.0012,0.0011,0.0011,0.0011",passed 100,failed 99,failed 15,"0.5525,-1.5718,-0.8580,0.5428,-0.8995","0.5522,-1.5723,-0.8574,0.5430,-0.8994"
/model/layers.13/post_attention_layernorm/SkipLayerNorm_/model/layers.13/post_attention_layernorm/output_3,"0.0025,0.0024,0.0021,0.0019,0.0018",passed 100,failed 97,failed 11,"0.8236,-1.5375,-0.2161,1.4467,-0.3324","0.8232,-1.5381,-0.2153,1.4473,-0.3325"
/model/layers.13/post_attention_layernorm/SkipLayerNorm_,0.0001,passed 100,passed 100,passed 100,1.3994,1.3994
/model/layers.13/post_attention_layernorm/SkipLayerNorm__1,0.0004,passed 100,passed 100,failed 0,0.8453,0.8457
/model/layers.13/post_attention_layernorm/SkipLayerNorm_/model/layers.13/post_attention_layernorm/output_0,"0.0008,0.0008,0.0007,0.0007,0.0007",passed 100,passed 100,failed 33,"0.1890,-0.3351,-0.0510,0.3034,-0.0746","0.1891,-0.3354,-0.0509,0.3035,-0.0747"
/model/layers.13/mlp/gate_proj/MatMul_Q4,"0.0024,0.0021,0.0020,0.0018,0.0016",passed 100,failed 98,failed 12,"-0.9844,-0.2876,0.6491,-0.3380,-0.5202","-0.9849,-0.2878,0.6494,-0.3379,-0.5200"
/model/layers.13/mlp/act_fn/Sigmoid,"0.0005,0.0005,0.0005,0.0005,0.0005",passed 100,passed 100,failed 26,"0.2720,0.4286,0.6568,0.4163,0.3728","0.2720,0.4285,0.6567,0.4163,0.3728"
/model/layers.13/mlp/act_fn/Mul,"0.0026,0.0021,0.0019,0.0017,0.0016",passed 100,failed 99,failed 28,"-0.2678,-0.1233,0.4264,-0.1407,-0.1939","-0.2678,-0.1234,0.4265,-0.1406,-0.1938"
/model/layers.13/mlp/up_proj/MatMul_Q4,"0.0021,0.0017,0.0017,0.0017,0.0016",passed 100,failed 98,failed 11,"-0.0216,0.5771,0.8728,0.3081,-0.1532","-0.0214,0.5767,0.8735,0.3081,-0.1538"
/model/layers.13/mlp/Mul,"0.0054,0.0030,0.0026,0.0025,0.0024",passed 100,failed 99,failed 41,"0.0058,-0.0711,0.3721,-0.0434,0.0297","0.0057,-0.0711,0.3726,-0.0433,0.0298"
/model/layers.13/mlp/down_proj/MatMul_Q4,"0.0106,0.0062,0.0059,0.0038,0.0034",failed 99,failed 77,failed 3,"-0.9762,0.1485,0.7030,-0.7072,0.1238","-0.9771,0.1477,0.7036,-0.7080,0.1237"
/model/layers.14/input_layernorm/output_3,"0.0130,0.0066,0.0049,0.0042,0.0041",failed 99,failed 72,failed 3,"-0.1526,-1.3890,0.4868,0.7395,-0.2086","-0.1538,-1.3906,0.4883,0.7393,-0.2087"
/model/layers.14/input_layernorm/SkipLayerNorm_,0.0018,passed 100,failed 0,failed 0,2.0860,2.0879
/model/layers.14/input_layernorm/SkipLayerNorm__1,0.0005,passed 100,passed 100,failed 0,0.6924,0.6919
/model/layers.14/input_layernorm/SkipLayerNorm_/model/layers.14/input_layernorm/output_0,"0.0021,0.0019,0.0017,0.0015,0.0015",passed 100,failed 99,failed 13,"-0.0452,-0.4114,0.1475,0.2080,-0.0550","-0.0455,-0.4116,0.1478,0.2079,-0.0550"
/model/layers.14/attn/qkv_proj/MatMul/output_0,"0.0048,0.0046,0.0044,0.0044,0.0042",passed 100,failed 76,failed 4,"1.4501,-1.6706,1.5684,-1.4049,0.7007","1.4502,-1.6709,1.5684,-1.4043,0.7017"
