Subgraph,4dp result,First 5 CPU Tensors,First 5 NPU Tensors
/model/layers.4/input_layernorm/output_3,passed 100,"['0.0895,0.0787,0.8183,0.3848,0.2479']","['0.0895,0.0787,0.8183,0.3848,0.2479']"
/model/layers.4/attn/o_proj/MatMul_Q4,failed 16,"['0.1225,1.4752,-0.9646,-0.3362,-0.6585']","['0.1224,1.4756,-0.9644,-0.3362,-0.6592']"
/model/layers.4/post_attention_layernorm/SkipLayerNorm_/model/layers.4/post_attention_layernorm/output_3,failed 13,"['0.3936,1.5095,-0.3227,0.5677,-0.0915']","['0.3933,1.5098,-0.3223,0.5674,-0.0923']"
/model/layers.4/post_attention_layernorm/SkipLayerNorm_,failed 0,['1.2257'],['1.2256']
/model/layers.4/post_attention_layernorm/SkipLayerNorm__1,failed 0,['0.9032'],['0.9028']
/model/layers.4/post_attention_layernorm/SkipLayerNorm_/model/layers.4/post_attention_layernorm/output_0,failed 48,"['0.0514,0.2024,-0.0430,0.0741,-0.0128']","['0.0513,0.2024,-0.0429,0.0740,-0.0129']"
/model/layers.4/mlp/gate_proj/MatMul_Q4,failed 19,"['0.0552,0.2038,0.4092,-0.3216,-0.0140']","['0.0551,0.2034,0.4092,-0.3213,-0.0140']"
/model/layers.4/mlp/act_fn/Sigmoid,failed 28,"['0.5138,0.5508,0.6009,0.4203,0.4965']","['0.5137,0.5508,0.6011,0.4204,0.4966']"
/model/layers.4/mlp/act_fn/Mul,failed 35,"['0.0284,0.1123,0.2459,-0.1352,-0.0070']","['0.0283,0.1120,0.2460,-0.1351,-0.0069']"
/model/layers.4/mlp/up_proj/MatMul_Q4,failed 19,"['-0.0151,-0.6551,-0.1000,0.1384,0.2913']","['-0.0152,-0.6548,-0.1000,0.1384,0.2913']"
/model/layers.4/mlp/Mul,failed 65,"['-0.0004,-0.0735,-0.0246,-0.0187,-0.0020']","['-0.0004,-0.0734,-0.0246,-0.0187,-0.0020']"
/model/layers.4/mlp/down_proj/MatMul_Q4,failed 13,"['-0.2079,-0.1142,0.1950,-0.0182,0.3679']","['-0.2076,-0.1140,0.1947,-0.0183,0.3672']"
/model/layers.5/input_layernorm/output_3,failed 8,"['0.1857,1.3953,-0.1277,0.5495,0.2764']","['0.1857,1.3955,-0.1276,0.5493,0.2749']"
/model/layers.5/input_layernorm/SkipLayerNorm_,failed 0,['1.2994'],['1.2988']
/model/layers.5/input_layernorm/SkipLayerNorm__1,failed 0,['0.8773'],['0.8774']
/model/layers.5/input_layernorm/SkipLayerNorm_/model/layers.5/input_layernorm/output_0,failed 34,"['0.0401,0.3000,-0.0258,0.1130,0.0547']","['0.0401,0.3003,-0.0258,0.1130,0.0544']"
/model/layers.5/attn/qkv_proj/MatMul/output_0,failed 11,"['-0.5797,0.2580,0.1803,-0.4347,-0.1772']","['-0.5801,0.2581,0.1804,-0.4341,-0.1772']"
