Subgraph,4dp result,First 5 CPU Tensors,First 5 NPU Tensors
/model/layers.8/input_layernorm/output_3,passed 100,"['0.0895,0.0787,0.8183,0.3848,0.2479']","['0.0895,0.0787,0.8183,0.3848,0.2479']"
/model/layers.8/attn/o_proj/MatMul_Q4,failed 16,"['-1.7414,0.8603,-0.5095,-2.2136,-1.4182']","['-1.7412,0.8604,-0.5098,-2.2129,-1.4180']"
/model/layers.8/post_attention_layernorm/SkipLayerNorm_/model/layers.8/post_attention_layernorm/output_3,failed 12,"['-1.4703,0.8946,0.1323,-1.3097,-0.8511']","['-1.4707,0.8945,0.1323,-1.3086,-0.8511']"
/model/layers.8/post_attention_layernorm/SkipLayerNorm_,failed 0,['1.2671'],['1.2676']
/model/layers.8/post_attention_layernorm/SkipLayerNorm__1,failed 0,['0.8884'],['0.8882']
/model/layers.8/post_attention_layernorm/SkipLayerNorm_/model/layers.8/post_attention_layernorm/output_0,failed 45,"['-0.2806,0.1669,0.0263,-0.2431,-0.1735']","['-0.2808,0.1667,0.0263,-0.2429,-0.1735']"
/model/layers.8/mlp/gate_proj/MatMul_Q4,failed 16,"['0.0471,0.0743,0.3844,0.2368,-0.0448']","['0.0472,0.0743,0.3843,0.2366,-0.0451']"
/model/layers.8/mlp/act_fn/Sigmoid,failed 28,"['0.5118,0.5186,0.5949,0.5589,0.4888']","['0.5117,0.5186,0.5947,0.5586,0.4888']"
/model/layers.8/mlp/act_fn/Mul,failed 31,"['0.0241,0.0385,0.2287,0.1323,-0.0219']","['0.0242,0.0385,0.2285,0.1322,-0.0220']"
/model/layers.8/mlp/up_proj/MatMul_Q4,failed 16,"['-0.1057,-0.3724,-0.3391,-0.1190,-0.2510']","['-0.1058,-0.3723,-0.3389,-0.1191,-0.2512']"
/model/layers.8/mlp/Mul,failed 52,"['-0.0025,-0.0143,-0.0776,-0.0158,0.0055']","['-0.0026,-0.0144,-0.0775,-0.0157,0.0055']"
/model/layers.8/mlp/down_proj/MatMul_Q4,failed 8,"['0.0087,-0.3366,0.1741,-0.5762,0.3877']","['0.0085,-0.3367,0.1733,-0.5762,0.3877']"
/model/layers.9/input_layernorm/output_3,failed 6,"['-1.4616,0.5579,0.3064,-1.8859,-0.4634']","['-1.4619,0.5576,0.3057,-1.8848,-0.4634']"
/model/layers.9/input_layernorm/SkipLayerNorm_,passed 100,['1.6436'],['1.6436']
/model/layers.9/input_layernorm/SkipLayerNorm__1,failed 0,['0.7800'],['0.7798']
/model/layers.9/input_layernorm/SkipLayerNorm_/model/layers.9/input_layernorm/output_0,failed 20,"['-0.3696,0.1411,0.0789,-0.4683,-0.0995']","['-0.3694,0.1410,0.0787,-0.4680,-0.0995']"
/model/layers.9/attn/qkv_proj/MatMul/output_0,failed 7,"['0.8342,0.1317,-0.7671,-0.1899,0.6017']","['0.8340,0.1322,-0.7661,-0.1904,0.6016']"
