Subgraph,4dp result,First 5 CPU Tensors,First 5 NPU Tensors
/model/layers.29/input_layernorm/output_3,passed 100,"['0.0895,0.0787,0.8183,0.3848,0.2479']","['0.0895,0.0787,0.8183,0.3848,0.2479']"
/model/layers.29/attn/o_proj/MatMul_Q4,failed 10,"['1.0667,1.7036,1.1231,1.6633,0.5455']","['1.0674,1.7041,1.1230,1.6641,0.5454']"
/model/layers.29/post_attention_layernorm/SkipLayerNorm_/model/layers.29/post_attention_layernorm/output_3,failed 7,"['1.3378,1.7379,1.7650,2.5672,1.1126']","['1.3379,1.7383,1.7656,2.5684,1.1123']"
/model/layers.29/post_attention_layernorm/SkipLayerNorm_,failed 0,['2.6330'],['2.6328']
/model/layers.29/post_attention_layernorm/SkipLayerNorm__1,failed 0,['0.6163'],['0.6162']
/model/layers.29/post_attention_layernorm/SkipLayerNorm_/model/layers.29/post_attention_layernorm/output_0,failed 21,"['0.4799,0.6066,0.6373,0.9146,0.3910']","['0.4797,0.6069,0.6372,0.9150,0.3909']"
/model/layers.29/mlp/gate_proj/MatMul_Q4,failed 6,"['-0.2413,0.7692,-1.5906,-0.5476,0.2220']","['-0.2415,0.7695,-1.5898,-0.5474,0.2224']"
/model/layers.29/mlp/act_fn/Sigmoid,failed 23,"['0.4400,0.6834,0.1693,0.3664,0.5553']","['0.4399,0.6831,0.1694,0.3665,0.5552']"
/model/layers.29/mlp/act_fn/Mul,failed 17,"['-0.1062,0.5257,-0.2693,-0.2006,0.1233']","['-0.1062,0.5259,-0.2693,-0.2006,0.1235']"
/model/layers.29/mlp/up_proj/MatMul_Q4,failed 5,"['-1.2827,0.4745,0.3068,-2.3422,-0.9642']","['-1.2822,0.4739,0.3076,-2.3418,-0.9634']"
/model/layers.29/mlp/Mul,failed 14,"['0.1362,0.2494,-0.0826,0.4699,-0.1189']","['0.1362,0.2491,-0.0828,0.4697,-0.1190']"
/model/layers.29/mlp/down_proj/MatMul_Q4,failed 0,"['-4.8904,-5.0364,-12.2676,-9.4419,1.8692']","['-4.8867,-5.0391,-12.2656,-9.4297,1.8730']"
/model/layers.30/input_layernorm/output_3,failed 0,"['-3.5525,-3.2986,-10.5026,-6.8747,2.9818']","['-3.5488,-3.3008,-10.5000,-6.8594,2.9844']"
/model/layers.30/input_layernorm/SkipLayerNorm_,failed 0,['43.0523'],['43.0312']
/model/layers.30/input_layernorm/SkipLayerNorm__1,failed 0,['0.1524'],['0.1525']
/model/layers.30/input_layernorm/SkipLayerNorm_/model/layers.30/input_layernorm/output_0,failed 8,"['-0.3849,-0.3751,-1.1067,-0.7776,0.3213']","['-0.3845,-0.3755,-1.1064,-0.7764,0.3218']"
/model/layers.30/attn/qkv_proj/MatMul/output_0,failed 3,"['0.2745,0.7373,1.0259,0.9859,0.3386']","['0.2744,0.7358,1.0254,0.9854,0.3389']"
