Subgraph,4dp result,First 5 CPU Tensors,First 5 NPU Tensors
/model/layers.15/input_layernorm/output_3,passed 100,"['0.0895,0.0787,0.8183,0.3848,0.2479']","['0.0895,0.0787,0.8183,0.3848,0.2479']"
/model/layers.15/attn/o_proj/MatMul_Q4,failed 13,"['-0.1298,-0.6837,-0.1935,-0.0876,0.5891']","['-0.1298,-0.6836,-0.1934,-0.0881,0.5894']"
/model/layers.15/post_attention_layernorm/SkipLayerNorm_/model/layers.15/post_attention_layernorm/output_3,failed 10,"['0.1413,-0.6494,0.4484,0.8163,1.1562']","['0.1412,-0.6494,0.4487,0.8159,1.1562']"
/model/layers.15/post_attention_layernorm/SkipLayerNorm_,failed 0,['1.4532'],['1.4531']
/model/layers.15/post_attention_layernorm/SkipLayerNorm__1,failed 0,['0.8295'],['0.8296']
/model/layers.15/post_attention_layernorm/SkipLayerNorm_/model/layers.15/post_attention_layernorm/output_0,failed 39,"['0.0332,-0.1452,0.1082,0.1785,0.2716']","['0.0332,-0.1451,0.1083,0.1785,0.2715']"
/model/layers.15/mlp/gate_proj/MatMul_Q4,failed 14,"['-0.1033,-0.7820,-0.8226,-0.3108,0.0458']","['-0.1033,-0.7822,-0.8232,-0.3110,0.0457']"
/model/layers.15/mlp/act_fn/Sigmoid,failed 27,"['0.4742,0.3139,0.3052,0.4229,0.5114']","['0.4741,0.3140,0.3049,0.4229,0.5112']"
/model/layers.15/mlp/act_fn/Mul,failed 28,"['-0.0490,-0.2455,-0.2511,-0.1314,0.0234']","['-0.0490,-0.2456,-0.2510,-0.1315,0.0233']"
/model/layers.15/mlp/up_proj/MatMul_Q4,failed 12,"['-0.4543,-0.4438,0.1321,0.5074,-0.8623']","['-0.4543,-0.4441,0.1318,0.5078,-0.8618']"
/model/layers.15/mlp/Mul,failed 40,"['0.0223,0.1089,-0.0332,-0.0667,-0.0202']","['0.0222,0.1091,-0.0331,-0.0668,-0.0201']"
/model/layers.15/mlp/down_proj/MatMul_Q4,failed 5,"['-2.6706,0.6793,2.3327,0.5432,1.1685']","['-2.6699,0.6802,2.3340,0.5425,1.1680']"
/model/layers.16/input_layernorm/output_3,failed 3,"['-2.5293,0.0300,2.7810,1.3595,2.3246']","['-2.5293,0.0308,2.7832,1.3584,2.3242']"
/model/layers.16/input_layernorm/SkipLayerNorm_,failed 0,['2.6808'],['2.6816']
/model/layers.16/input_layernorm/SkipLayerNorm__1,passed 100,['0.6108'],['0.6108']
/model/layers.16/input_layernorm/SkipLayerNorm_/model/layers.16/input_layernorm/output_0,failed 14,"['-0.7120,0.0085,0.8227,0.3860,0.6128']","['-0.7119,0.0087,0.8237,0.3857,0.6128']"
/model/layers.16/attn/qkv_proj/MatMul/output_0,failed 5,"['0.3184,0.0981,-0.0458,0.2034,-0.4350']","['0.3188,0.0986,-0.0458,0.2037,-0.4351']"
