Subgraph,4dp result,First 5 CPU Tensors,First 5 NPU Tensors
/model/layers.14/input_layernorm/output_3,passed 100,"['0.0895,0.0787,0.8183,0.3848,0.2479']","['0.0895,0.0787,0.8183,0.3848,0.2479']"
/model/layers.14/attn/o_proj/MatMul_Q4,failed 14,"['-0.0300,-0.1832,1.2205,0.1637,0.9902']","['-0.0299,-0.1832,1.2207,0.1636,0.9902']"
/model/layers.14/post_attention_layernorm/SkipLayerNorm_/model/layers.14/post_attention_layernorm/output_3,failed 11,"['0.2411,-0.1489,1.8624,1.0676,1.5573']","['0.2411,-0.1489,1.8633,1.0674,1.5566']"
/model/layers.14/post_attention_layernorm/SkipLayerNorm_,failed 0,['1.4557'],['1.4561']
/model/layers.14/post_attention_layernorm/SkipLayerNorm__1,failed 0,['0.8288'],['0.8286']
/model/layers.14/post_attention_layernorm/SkipLayerNorm_/model/layers.14/post_attention_layernorm/output_0,failed 36,"['0.0550,-0.0320,0.4372,0.2229,0.3529']","['0.0550,-0.0320,0.4373,0.2228,0.3528']"
/model/layers.14/mlp/gate_proj/MatMul_Q4,failed 13,"['0.3440,-0.3264,-0.4045,-0.2061,-0.5961']","['0.3440,-0.3257,-0.4041,-0.2062,-0.5957']"
/model/layers.14/mlp/act_fn/Sigmoid,failed 27,"['0.5852,0.4191,0.4002,0.4486,0.3552']","['0.5850,0.4192,0.4004,0.4487,0.3552']"
/model/layers.14/mlp/act_fn/Mul,failed 27,"['0.2013,-0.1368,-0.1619,-0.0925,-0.2118']","['0.2012,-0.1365,-0.1617,-0.0925,-0.2115']"
/model/layers.14/mlp/up_proj/MatMul_Q4,failed 12,"['-0.0165,-0.1139,0.2724,0.2597,-0.8612']","['-0.0167,-0.1137,0.2725,0.2595,-0.8608']"
/model/layers.14/mlp/Mul,failed 40,"['-0.0033,0.0156,-0.0441,-0.0240,0.1824']","['-0.0034,0.0155,-0.0441,-0.0240,0.1821']"
/model/layers.14/mlp/down_proj/MatMul_Q4,failed 4,"['-1.4648,-0.6970,0.9833,-1.2596,1.1771']","['-1.4639,-0.6958,0.9824,-1.2598,1.1768']"
/model/layers.15/input_layernorm/output_3,failed 3,"['-1.2237,-0.8459,2.8458,-0.1920,2.7344']","['-1.2227,-0.8447,2.8457,-0.1924,2.7344']"
/model/layers.15/input_layernorm/SkipLayerNorm_,failed 0,['2.9750'],['2.9727']
/model/layers.15/input_layernorm/SkipLayerNorm__1,failed 0,['0.5798'],['0.5801']
/model/layers.15/input_layernorm/SkipLayerNorm_/model/layers.15/input_layernorm/output_0,failed 15,"['-0.2993,-0.2193,0.7573,-0.0474,0.6379']","['-0.2993,-0.2191,0.7573,-0.0475,0.6382']"
/model/layers.15/attn/qkv_proj/MatMul/output_0,failed 5,"['0.1998,1.4562,-1.6260,0.1887,-0.0441']","['0.1995,1.4551,-1.6250,0.1886,-0.0440']"
