Subgraph,5 highest absolute error,0.01 result,0.001 result,4dp result,First 5 CPU Tensors,First 5 NPU Tensors
/model/layers.20/input_layernorm/output_3,"0.0000,0.0000,0.0000,0.0000,0.0000",passed 100,passed 100,passed 100,"0.0895,0.0787,0.8183,0.3848,0.2479","0.0895,0.0787,0.8183,0.3848,0.2479"
/model/layers.20/attn/o_proj/MatMul_Q4,"0.0017,0.0014,0.0014,0.0013,0.0013",passed 100,failed 99,failed 12,"3.1190,1.3807,-0.0622,-1.6975,-1.0836","3.1191,1.3809,-0.0623,-1.6982,-1.0830"
/model/layers.20/post_attention_layernorm/SkipLayerNorm_/model/layers.20/post_attention_layernorm/output_3,"0.0031,0.0021,0.0021,0.0020,0.0019",passed 100,failed 95,failed 11,"3.3901,1.4150,0.5797,-0.7936,-0.5165","3.3906,1.4150,0.5796,-0.7944,-0.5161"
/model/layers.20/post_attention_layernorm/SkipLayerNorm_,0.0005,passed 100,passed 100,failed 0,1.8130,1.8125
/model/layers.20/post_attention_layernorm/SkipLayerNorm__1,0.0000,passed 100,passed 100,passed 100,0.7427,0.7427
/model/layers.20/post_attention_layernorm/SkipLayerNorm_/model/layers.20/post_attention_layernorm/output_0,"0.0008,0.0007,0.0007,0.0007,0.0007",passed 100,passed 100,failed 31,"0.9048,0.3612,0.1581,-0.2072,-0.1379","0.9048,0.3613,0.1581,-0.2074,-0.1377"
/model/layers.20/mlp/gate_proj/MatMul_Q4,"0.0017,0.0017,0.0017,0.0016,0.0016",passed 100,failed 99,failed 10,"1.0121,0.2767,1.0627,0.1923,0.3051","1.0127,0.2769,1.0625,0.1925,0.3052"
/model/layers.20/mlp/act_fn/Sigmoid,"0.0006,0.0006,0.0006,0.0006,0.0005",passed 100,passed 100,failed 27,"0.7334,0.5687,0.7432,0.5479,0.5757","0.7334,0.5688,0.7432,0.5479,0.5757"
/model/layers.20/mlp/act_fn/Mul,"0.0028,0.0028,0.0021,0.0019,0.0019",passed 100,failed 99,failed 23,"0.7423,0.1574,0.7898,0.1054,0.1756","0.7427,0.1575,0.7896,0.1055,0.1757"
/model/layers.20/mlp/up_proj/MatMul_Q4,"0.0018,0.0017,0.0015,0.0015,0.0015",passed 100,failed 98,failed 9,"0.2812,-0.4597,-1.9002,2.0715,-0.6709","0.2815,-0.4595,-1.9004,2.0723,-0.6709"
/model/layers.20/mlp/Mul,"0.0069,0.0034,0.0033,0.0032,0.0029",passed 100,failed 98,failed 31,"0.2088,-0.0724,-1.5007,0.2183,-0.1178","0.2091,-0.0723,-1.5000,0.2185,-0.1179"
/model/layers.20/mlp/down_proj/MatMul_Q4,"0.0040,0.0039,0.0038,0.0038,0.0038",passed 100,failed 62,failed 3,"0.8632,-1.5225,-0.4045,-0.9289,0.3604","0.8638,-1.5225,-0.4038,-0.9277,0.3613"
/model/layers.21/input_layernorm/output_3,"0.0058,0.0056,0.0053,0.0047,0.0047",passed 100,failed 54,failed 2,"4.2533,-0.1075,0.1752,-1.7225,-0.1561","4.2539,-0.1074,0.1758,-1.7227,-0.1548"
/model/layers.21/input_layernorm/SkipLayerNorm_,0.0016,passed 100,failed 0,failed 0,4.9984,5.0000
/model/layers.21/input_layernorm/SkipLayerNorm__1,0.0000,passed 100,passed 100,passed 100,0.4473,0.4473
/model/layers.21/input_layernorm/SkipLayerNorm_/model/layers.21/input_layernorm/output_0,"0.0020,0.0018,0.0016,0.0016,0.0016",passed 100,failed 98,failed 11,"1.0255,-0.0259,0.0413,-0.4153,-0.0348","1.0254,-0.0259,0.0414,-0.4153,-0.0345"
/model/layers.21/attn/qkv_proj/MatMul/output_0,"0.0045,0.0037,0.0035,0.0033,0.0032",passed 100,failed 79,failed 5,"-1.8139,-1.6387,1.2516,1.6987,-0.7110","-1.8135,-1.6387,1.2510,1.6982,-0.7104"
