Subgraph,4dp result,First 5 CPU Tensors,First 5 NPU Tensors
/model/layers.22/input_layernorm/output_3,passed 100,"['0.0895,0.0787,0.8183,0.3848,0.2479']","['0.0895,0.0787,0.8183,0.3848,0.2479']"
/model/layers.22/attn/o_proj/MatMul_Q4,failed 12,"['-0.0838,0.1814,-0.4866,2.4731,-1.3350']","['-0.0838,0.1815,-0.4866,2.4727,-1.3350']"
/model/layers.22/post_attention_layernorm/SkipLayerNorm_/model/layers.22/post_attention_layernorm/output_3,failed 10,"['0.1873,0.2157,0.1553,3.3771,-0.7679']","['0.1873,0.2158,0.1555,3.3770,-0.7681']"
/model/layers.22/post_attention_layernorm/SkipLayerNorm_,failed 0,['2.0011'],['2.0000']
/model/layers.22/post_attention_layernorm/SkipLayerNorm__1,failed 0,['0.7069'],['0.7070']
/model/layers.22/post_attention_layernorm/SkipLayerNorm_/model/layers.22/post_attention_layernorm/output_0,failed 28,"['0.0522,0.0587,0.0433,0.9558,-0.2184']","['0.0522,0.0587,0.0434,0.9556,-0.2185']"
/model/layers.22/mlp/gate_proj/MatMul_Q4,failed 9,"['-1.0643,-0.3990,-1.0381,-0.5022,0.9369']","['-1.0645,-0.3989,-1.0391,-0.5020,0.9375']"
/model/layers.22/mlp/act_fn/Sigmoid,failed 25,"['0.2565,0.4016,0.2615,0.3770,0.7185']","['0.2563,0.4016,0.2612,0.3770,0.7188']"
/model/layers.22/mlp/act_fn/Mul,failed 21,"['-0.2730,-0.1602,-0.2715,-0.1893,0.6731']","['-0.2729,-0.1602,-0.2715,-0.1892,0.6738']"
/model/layers.22/mlp/up_proj/MatMul_Q4,failed 8,"['0.6105,-1.0161,-1.5940,0.6810,-1.0041']","['0.6104,-1.0166,-1.5938,0.6816,-1.0039']"
/model/layers.22/mlp/Mul,failed 25,"['-0.1666,0.1628,0.4327,-0.1289,-0.6759']","['-0.1666,0.1628,0.4326,-0.1290,-0.6763']"
/model/layers.22/mlp/down_proj/MatMul_Q4,failed 2,"['0.6227,-5.3095,-3.2715,1.8407,4.7852']","['0.6230,-5.3086,-3.2734,1.8408,4.7852']"
/model/layers.23/input_layernorm/output_3,failed 2,"['0.8100,-5.0937,-3.1163,5.2177,4.0173']","['0.8105,-5.0938,-3.1172,5.2188,4.0156']"
/model/layers.23/input_layernorm/SkipLayerNorm_,failed 0,['6.7168'],['6.7188']
/model/layers.23/input_layernorm/SkipLayerNorm__1,failed 0,['0.3858'],['0.3857']
/model/layers.23/input_layernorm/SkipLayerNorm_/model/layers.23/input_layernorm/output_0,failed 9,"['0.1734,-1.1363,-0.6904,1.1796,0.8295']","['0.1735,-1.1357,-0.6904,1.1797,0.8291']"
/model/layers.23/attn/qkv_proj/MatMul/output_0,failed 4,"['0.5008,1.0777,0.2442,-0.1029,0.6443']","['0.5015,1.0771,0.2446,-0.1031,0.6440']"
