Subgraph,4dp result,First 5 CPU Tensors,First 5 NPU Tensors
/model/layers.7/input_layernorm/output_3,passed 100,"['0.0895,0.0787,0.8183,0.3848,0.2479']","['0.0895,0.0787,0.8183,0.3848,0.2479']"
/model/layers.7/attn/o_proj/MatMul_Q4,failed 15,"['0.1344,0.3499,1.0703,0.5555,0.8052']","['0.1342,0.3501,1.0703,0.5552,0.8052']"
/model/layers.7/post_attention_layernorm/SkipLayerNorm_/model/layers.7/post_attention_layernorm/output_3,failed 11,"['0.4055,0.3842,1.7121,1.4594,1.3722']","['0.4053,0.3843,1.7129,1.4590,1.3721']"
/model/layers.7/post_attention_layernorm/SkipLayerNorm_,failed 0,['1.2747'],['1.2744']
/model/layers.7/post_attention_layernorm/SkipLayerNorm__1,passed 100,['0.8857'],['0.8857']
/model/layers.7/post_attention_layernorm/SkipLayerNorm_/model/layers.7/post_attention_layernorm/output_0,failed 50,"['0.0722,0.0658,0.3036,0.2449,0.2552']","['0.0722,0.0658,0.3037,0.2448,0.2551']"
/model/layers.7/mlp/gate_proj/MatMul_Q4,failed 17,"['0.4576,-0.0526,-0.2636,0.3144,0.0689']","['0.4573,-0.0526,-0.2634,0.3145,0.0688']"
/model/layers.7/mlp/act_fn/Sigmoid,failed 29,"['0.6124,0.4869,0.4345,0.5780,0.5172']","['0.6123,0.4868,0.4346,0.5776,0.5171']"
/model/layers.7/mlp/act_fn/Mul,failed 33,"['0.2802,-0.0256,-0.1145,0.1817,0.0356']","['0.2800,-0.0256,-0.1145,0.1816,0.0356']"
/model/layers.7/mlp/up_proj/MatMul_Q4,failed 19,"['-0.6968,-0.3016,0.5674,-0.3138,-0.3731']","['-0.6973,-0.3015,0.5674,-0.3140,-0.3728']"
/model/layers.7/mlp/Mul,failed 58,"['-0.1953,0.0077,-0.0650,-0.0570,-0.0133']","['-0.1953,0.0077,-0.0649,-0.0570,-0.0133']"
/model/layers.7/mlp/down_proj/MatMul_Q4,Model loading failed
/model/layers.8/input_layernorm/output_3,Model loading failed
/model/layers.8/input_layernorm/SkipLayerNorm_,Model loading failed
/model/layers.8/input_layernorm/SkipLayerNorm__1,Model loading failed
/model/layers.8/input_layernorm/SkipLayerNorm_/model/layers.8/input_layernorm/output_0,Model loading failed
/model/layers.8/attn/qkv_proj/MatMul/output_0,Model loading failed
